Playlist,Categoria,Rotulo,Posicao,Musica,Artista,Duracao,Link_Spotify
Beast Mode Ignition,Dia,Dia 01,1,Till I Collapse,Eminem ft. Nate Dogg,4:57,
Beast Mode Ignition,Dia,Dia 01,2,Stronger,Kanye West,5:11,
Beast Mode Ignition,Dia,Dia 01,3,Power,Kanye West,4:52,
Beast Mode Ignition,Dia,Dia 01,4,Thunderstruck,AC/DC,4:52,
Beast Mode Ignition,Dia,Dia 01,5,Lose Yourself,Eminem,5:26,
Beast Mode Ignition,Dia,Dia 01,6,Can't Hold Us,Macklemore & Ryan Lewis,4:18,
Beast Mode Ignition,Dia,Dia 01,7,Killing In The Name,Rage Against the Machine,5:13,
Beast Mode Ignition,Dia,Dia 01,8,Remember the Name,Fort Minor,3:28,
Beast Mode Ignition,Dia,Dia 01,9,Warrior,Disturbed,4:09,
Beast Mode Ignition,Dia,Dia 01,10,Eye of the Tiger,Survivor,4:05,
Cardio Fire Run,Dia,Dia 02,1,Blinding Lights,The Weeknd,3:20,
Cardio Fire Run,Dia,Dia 02,2,Physical,Dua Lipa,3:13,
Cardio Fire Run,Dia,Dia 02,3,Don't Stop Me Now,Queen,3:29,
Cardio Fire Run,Dia,Dia 02,4,Levels,Avicii,3:18,
Cardio Fire Run,Dia,Dia 02,5,Run the World (Girls),Beyoncé,3:57,
Cardio Fire Run,Dia,Dia 02,6,Started From the Bottom,Drake,3:12,
Cardio Fire Run,Dia,Dia 02,7,Titanium,David Guetta ft. Sia,4:05,
Cardio Fire Run,Dia,Dia 02,8,On Top of the World,Imagine Dragons,3:11,
Cardio Fire Run,Dia,Dia 02,9,Wake Me Up,Avicii,4:09,
Cardio Fire Run,Dia,Dia 02,10,Run Boy Run,Woodkid,3:10,
Game Day Hype,Dia,Dia 03,1,All I Do Is Win,DJ Khaled ft. T-Pain,3:20,
Game Day Hype,Dia,Dia 03,2,We Will Rock You,Queen,2:02,
Game Day Hype,Dia,Dia 03,3,Jump Around,House of Pain,3:38,
Game Day Hype,Dia,Dia 03,4,Champions,"Kanye West, Gucci Mane",4:05,
Game Day Hype,Dia,Dia 03,5,Ante Up,M.O.P.,3:28,
Game Day Hype,Dia,Dia 03,6,Roar,Katy Perry,3:43,
Game Day Hype,Dia,Dia 03,7,Hall of Fame,The Script ft. will.i.am,3:21,
Game Day Hype,Dia,Dia 03,8,Whatever It Takes,Imagine Dragons,3:21,
Game Day Hype,Dia,Dia 03,9,Kickstart My Heart,Mötley Crüe,4:41,
Game Day Hype,Dia,Dia 03,10,Started,Iggy Azalea,3:52,
Active Recovery Flow,Dia,Dia 04,1,Holocene,Bon Iver,5:37,
Active Recovery Flow,Dia,Dia 04,2,Intro,The xx,2:07,
Active Recovery Flow,Dia,Dia 04,3,Float,Gramatik,5:15,
Active Recovery Flow,Dia,Dia 04,4,Breathe (2 AM),Anna Nalick,4:04,
Active Recovery Flow,Dia,Dia 04,5,Slow Burn,Kacey Musgraves,4:12,
Active Recovery Flow,Dia,Dia 04,6,Gymnopédie No.1,Erik Satie,3:03,
Active Recovery Flow,Dia,Dia 04,7,Re: Stacks,Bon Iver,4:48,
Active Recovery Flow,Dia,Dia 04,8,Such Great Heights,Iron & Wine,3:58,
Active Recovery Flow,Dia,Dia 04,9,Lua,Bright Eyes,4:25,
Active Recovery Flow,Dia,Dia 04,10,Motion Picture Soundtrack,Radiohead,7:03,
Domination Mid-Week,Dia,Dia 05,1,HUMBLE.,Kendrick Lamar,2:57,
Domination Mid-Week,Dia,Dia 05,2,DNA.,Kendrick Lamar,3:05,
Domination Mid-Week,Dia,Dia 05,3,Sicko Mode,Travis Scott,5:12,
Domination Mid-Week,Dia,Dia 05,4,God's Plan,Drake,3:18,
